filename,class,fill
0001.jpg.png,null,null
00002.jpg,null,null
00003.jpg,null,null
00004.jpg,null,null
00005.jpg,null,null
00006.jpg,null,null
00007.jpg,null,null
00008.jpg,null,null
00009.jpg,null,null
00010.jpg,null,null
00011.jpg,null,null
00012.jpg,null,null
00013.jpg,null,null
00014.jpg,null,null
00015.jpg,null,null
00016.jpg,null,null
00017.jpg,null,null
00018.jpg,null,null
00019.jpg,null,null
00020.jpg,null,null
00021.jpg,null,null
00022.jpg,null,null
00023.jpg,null,null
00024.jpg,null,null
00025.jpg,null,null
00026.jpg,null,null
00027.jpg,null,null
00028.jpg,null,null
00029.jpg,null,null
00030.jpg,null,null
00031.jpg,null,null
00032.jpg,null,null
00033.jpg,null,null
00034.jpg,null,null
00035.jpg,null,null
00036.jpg,null,null
00037.jpg,null,null
00038.jpg,null,null
00039.jpg,null,null
00040.jpg,null,null
00041.jpg,null,null
00042.jpg,null,null
00043.jpg,null,null
00044.jpg,null,null
00045.jpg,null,null
00046.jpg,null,null
00047.jpg,null,null
00048.jpg,null,null
00049.jpg,null,null
00050.jpg,null,null
00051.jpg,glass;plate,0;0
00052.jpg,glass;glass;plate,0;0;0
00053.jpg,plate;glass;plate,0;0;0
00054.jpg,plate;plate;glass,0;0;0
00055.jpg,plate;plate;cup;glass,0;0;0;0
00056.jpg,glass;plate,0;0
00057.jpg,plate;glass,0;0
00058.jpg,cup;plate,0;0
00059.jpg,cup,0
00060.jpg,glass,0
00061.jpg,glass,0
00062.jpg,glass,0
00063.jpg,cup,0
00064.jpg,cup,0
00065.jpg,plate,0
00066.jpg,plate,0
00067.jpg,plate,0
00068.jpg,cup;plate,0;0
00069.jpg,cup;glass;plate,0;0;0
00070.jpg,cup;glass;plate,0;0;0
00071.jpg,glass;plate;glass,0;0;0
00072.jpg,glass;plate;plate;glass,0;0;0;0
00073.jpg,glass;plate,0;0
00074.jpg,cup;plate,0;0
00075.jpg,plate;cup,0;0
00076.jpg,glass;plate,0;0
00077.jpg,cup;glass;glass;plate,0;0;0;0
00078.jpg,glass;glass;glass,0;0;0
00079.jpg,cup;cup;cup,0;0;0
00080.jpg,cup;plate;cup,0;0;0
00081.jpg,cup;glass;cup;plate,0;0;0;0
00082.jpg,plate;cup;cup;plate,0;0;0;0
00083.jpg,plate;plate;glass,0;0;0
00084.jpg,plate;plate;glass,0;0;0
00085.jpg,cup;plate;plate,0;0;0
00086.jpg,glass;plate;plate;cup,0;0;0;0
00087.jpg,plate;plate;plate;plate,0;0;0;0
00088.jpg,plate;glass;plate;cup,0;0;0;0
00089.jpg,plate;glass;plate;plate;cup,0;0;0;0;0
00090.jpg,glass;plate;plate,0;0;0
00091.jpg,plate;plate;glass,0;0;0
00092.jpg,plate;plate;glass,0;0;0
00093.jpg,plate;plate,0;0
00094.jpg,glass;plate;plate;glass,0;0;0;0
00095.jpg,glass;glass;plate;plate;cup,0;0;0;0;0
00096.jpg,plate;cup;plate,0;0;0
00097.jpg,plate;cup,0;0
00098.jpg,plate;glass;cup,0;0;0
00099.jpg,plate;glass;cup;glass,0;0;0;0
00100.jpg,plate;cup;glass,0;0;0
00101.jpg,plate,0
00102.jpg,glass;plate,0;0
00103.jpg,glass;plate;glass,0;0;0
00104.jpg,glass;cup;plate,0;0;0
00105.jpg,glass;cup;plate,0;0;0
00106.jpg,cup;plate,0;0
00107.jpg,glass;plate,0;0
00108.jpg,plate;glass,0;0
00109.jpg,cup;plate,0;0
00110.jpg,cup;plate;plate,0;0;0
00111.jpg,cup;plate,0;0
00112.jpg,plate;cup,0;0
00113.jpg,plate;cup,0;0
00114.jpg,glass;plate,0;0
00115.jpg,glass;plate,0;0
00116.jpg,glass;plate,0;0
00117.jpg,glass;plate,0;0
00118.jpg,cup;plate;glass,0;0;0
00119.jpg,cup;glass;plate,0;0;0
00120.jpg,cup;glass;plate,0;0;0
00121.jpg,cup;glass;plate,0;0;0
00122.jpg,cup;glass;plate,0;0;0
00123.jpg,cup;glass;plate,0;0;0
00124.jpg,cup;plate;glass,0;0;0
00125.jpg,cup;plate;plate,0;0;0
00126.jpg,cup;plate;plate,0;0;0
00127.jpg,plate;cup;plate,0;0;0
00128.jpg,plate;glass;plate,0;0;0
00129.jpg,glass;plate;plate,0;0;0
00130.jpg,glass;plate;plate,0;0;0
00131.jpg,plate;glass,0;0
00132.jpg,glass;plate,0;0
00133.jpg,glass;plate,0;0
00134.jpg,glass;plate;glass,0;0;0
00135.jpg,glass;cup;plate,0;0;0
00136.jpg,glass;cup;plate,0;0;0
00137.jpg,glass;cup;plate,0;0;0
00138.jpg,glass;cup;plate,0;0;0
00139.jpg,glass;cup;plate,0;0;0
00140.jpg,glass;plate,0;0
00141.jpg,plate;plate;glass,0;0;0
00142.jpg,plate;plate;glass,0;0;0
00143.jpg,plate;plate;glass,0;0;0
00144.jpg,plate;cup;plate,0;0;0
00145.jpg,plate;glass;plate,0;0;0
00146.jpg,glass;glass;plate;plate,0;0;0;0
00147.jpg,glass;glass;plate;plate,0;0;0;0
00148.jpg,glass;glass;plate;plate,0;0;0;0
00149.jpg,glass;plate;plate,0;0;0
00150.jpg,plate;glass;plate,0;0;0
00151.jpg,glass;plate;plate,0;0;0
00152.jpg,glass;cup;plate;plate,0;0;0;0
00153.jpg,glass;cup;plate;plate,0;0;0;0
00154.jpg,glass;cup;plate;plate;plate,0;0;0;0;0
00155.jpg,plate;glass;plate;plate,0;0;0;0
00156.jpg,glass;plate;plate;plate,0;0;0;0
00157.jpg,glass;plate;plate;plate,0;0;0;0
00158.jpg,plate;cup;plate;plate,0;0;0;0
00159.jpg,plate;cup;plate;plate,0;0;0;0
00160.jpg,cup;cup,0;0
00161.jpg,cup;cup,0;0
00162.jpg,cup;cup,0;0
00163.jpg,glass;cup,0;0
00164.jpg,glass;glass,0;0
00165.jpg,glass;glass,0;0
00166.jpg,glass;glass,0;0
00167.jpg,glass;glass;glass,0;0;0
00168.jpg,cup;glass,0;0
00169.jpg,cup;plate;glass,0;0;0
00170.jpg,cup;plate;glass,0;0;0
00171.jpg,cup;glass;plate,0;0;0
00172.jpg,cup;glass;plate,0;0;0
00173.jpg,glass;plate,0;0
00174.jpg,glass;plate;plate,0;0;0
00175.jpg,plate;plate;glass,0;0;0
00176.jpg,plate;glass;cup;plate,0;0;0;0
00177.jpg,glass;plate;plate,0;0;0
00178.jpg,plate;plate,0;0
00179.jpg,plate;plate;glass,0;0;0
00180.jpg,plate;plate;glass,0;0;0
00181.jpg,cup;plate;plate,0;0;0
00182.jpg,cup;plate;plate,0;0;0
00183.jpg,plate;cup;plate,0;0;0
00184.jpg,plate;cup;plate,0;0;0
00185.jpg,cup;plate;plate,0;0;0
00186.jpg,cup;plate;plate,0;0;0
00187.jpg,plate;cup;plate,0;0;0
00188.jpg,cup;cup;plate,0;0;0
00189.jpg,cup;plate,0;0
00190.jpg,cup;glass;plate,0;0;0
00191.jpg,cup;glass;plate,0;0;0
00192.jpg,cup;glass;plate,0;0;0
00193.jpg,cup;plate;glass,0;0;0
00194.jpg,cup;plate,0;0
00195.jpg,glass;cup;plate,0;0;0
00196.jpg,cup;plate;glass,0;0;0
00197.jpg,plate;cup,0;0
00198.jpg,plate;cup,0;0
00199.jpg,cup;glass;plate,0;0;0
00200.jpg,cup;glass;plate,0;0;0
00201.jpg,plate,0
00202.jpg,plate,0
00203.jpg,plate,0
00204.jpg,plate;plate,0;0
00205.jpg,plate;plate,0;0
00206.jpg,plate;plate,0;0
00207.jpg,plate,0
00208.jpg,plate,0
00209.jpg,plate,0
00210.jpg,plate,0
00211.jpg,plate,0
00212.jpg,plate;plate,0;0
00213.jpg,plate;plate,0;0
00214.jpg,plate;plate,0;0
00215.jpg,glass;plate;plate;glass,0;0;0;0
00216.jpg,plate,0
00217.jpg,plate,0
00218.jpg,plate,0
00219.jpg,plate;glass,0;0
00220.jpg,glass;glass;plate,0;0;0
00221.jpg,glass;plate,0;0
00222.jpg,cup;cup;cup,30;30;30
00223.jpg,cup;cup,30;30
00224.jpg,cup;cup;cup,30;30;30
00225.jpg,cup;cup;cup,30;30;30
00226.jpg,cup;cup,30;30
00227.jpg,plate;plate;glass,0;0;0
00228.jpg,cup;cup;glass,30;30;0
00229.jpg,cup;cup;cup;glass,30;30;30;0
00230.jpg,cup;cup;cup,30;30;30
00231.jpg,cup,30
00232.jpg,cup;cup;cup,30;30;30
00233.jpg,plate;glass;plate,0;0;0
00234.jpg,plate;plate;plate;glass,0;0;0;0
00235.jpg,plate;glass;plate,0;0;0
00236.jpg,plate;plate;glass;glass,0;0;0;0
00237.jpg,plate;plate;glass,0;0;0
00238.jpg,plate;plate;glass,0;0;0
00239.jpg,cup;cup;cup,30;30;30
00240.jpg,plate,0
00241.jpg,cup;cup;cup,30;30;30
00242.jpg,cup;cup,30;30
00243.jpg,cup;cup;cup,30;30;30
00244.jpg,cup;cup;cup,30;30;30
00245.jpg,cup;cup;cup,30;30;30
00246.jpg,cup;cup;cup,30;30;30
00247.jpg,cup;cup;cup,30;30;30
00248.jpg,cup;cup;cup,30;30;30
00249.jpg,cup;cup;cup,30;30;30
00250.jpg,cup;cup;cup,30;30;30
00251.jpg,cup;cup;cup;plate,30;30;30;0
00252.jpg,cup;cup;cup,30;30;30
00253.jpg,cup,30
00254.jpg,cup;cup;cup,30;30;30
00255.jpg,cup;cup;cup,30;30;30
00256.jpg,glass;glass;glass,30;30;30
00257.jpg,glass;glass;glass,30;30;30
00258.jpg,glass;glass;glass,30;30;30
00259.jpg,glass;glass;glass,30;30;30
00260.jpg,glass;glass;glass,30;30;30
00261.jpg,glass;glass;glass,30;30;30
