filename,class,fill,x,y,width,height
00051.jpg,glass,0,478.0,644.0,262.0,290.0
00052.jpg,glass,0,609.0,423.0,238.0,223.0
00052.jpg,glass,0,786.0,629.0,250.0,390.0
00053.jpg,glass,0,1004.0,812.0,217.0,208.0
00054.jpg,glass,0,978.0,776.0,216.0,246.0
00055.jpg,cup,0,319.0,834.0,279.0,186.0
00055.jpg,glass,0,973.0,775.0,228.0,244.0
00056.jpg,glass,0,546.0,552.0,265.0,277.0
00057.jpg,glass,0,1033.0,400.0,210.0,212.0
00058.jpg,cup,0,469.0,317.0,327.0,238.0
00062.jpg,glass,0,826.0,330.0,255.0,313.0
00063.jpg,cup,0,854.0,695.0,315.0,285.0
00068.jpg,cup,0,332.0,375.0,304.0,296.0
00069.jpg,cup,0,337.0,378.0,302.0,282.0
00070.jpg,cup,0,331.0,377.0,301.0,283.0
00071.jpg,glass,0,305.0,415.0,295.0,247.0
00072.jpg,glass,0,244.0,264.0,329.0,227.0
00072.jpg,glass,0,1232.0,828.0,205.0,194.0
00074.jpg,cup,0,390.0,546.0,318.0,242.0
00075.jpg,cup,0,1233.0,618.0,296.0,276.0
00076.jpg,glass,0,174.0,506.0,436.0,369.0
00077.jpg,cup,0,804.0,394.0,319.0,248.0
00077.jpg,glass,0,179.0,512.0,434.0,357.0
00077.jpg,glass,0,600.0,797.0,243.0,225.0
00078.jpg,glass,0,320.0,211.0,421.0,306.0
00078.jpg,glass,0,1183.0,312.0,239.0,229.0
00078.jpg,glass,0,806.0,695.0,218.0,309.0
00079.jpg,cup,0,623.0,435.0,323.0,249.0
00079.jpg,cup,0,1102.0,609.0,249.0,304.0
00080.jpg,cup,0,582.0,233.0,336.0,253.0
00080.jpg,cup,0,1110.0,610.0,243.0,308.0
00081.jpg,cup,0,580.0,237.0,336.0,249.0
00081.jpg,glass,0,265.0,482.0,273.0,203.0
00082.jpg,cup,0,1114.0,610.0,228.0,308.0
00083.jpg,glass,0,1076.0,597.0,272.0,405.0
00084.jpg,glass,0,1083.0,589.0,265.0,407.0
00086.jpg,cup,0,1356.0,770.0,264.0,240.0
00088.jpg,cup,0,993.0,738.0,263.0,281.0
00089.jpg,glass,0,732.0,287.0,290.0,291.0
00089.jpg,cup,0,990.0,738.0,266.0,275.0
00090.jpg,glass,0,385.0,401.0,384.0,329.0
00091.jpg,glass,0,1006.0,683.0,251.0,377.0
00092.jpg,glass,0,1010.0,749.0,273.0,270.0
00094.jpg,glass,0,310.0,456.0,301.0,217.0
00094.jpg,glass,0,467.0,798.0,279.0,297.0
00095.jpg,glass,0,309.0,441.0,270.0,236.0
00095.jpg,glass,0,257.0,710.0,342.0,308.0
00095.jpg,cup,0,1263.0,773.0,304.0,247.0
00096.jpg,cup,0,795.0,591.0,219.0,216.0
00097.jpg,cup,0,941.0,310.0,268.0,246.0
00098.jpg,glass,0,1163.0,554.0,243.0,275.0
00098.jpg,cup,0,879.0,444.0,261.0,361.0
00099.jpg,cup,0,1174.0,569.0,220.0,260.0
00100.jpg,cup,0,1175.0,579.0,222.0,225.0
00100.jpg,glass,0,458.0,663.0,345.0,360.0
00102.jpg,glass,0,419.0,487.0,226.0,203.0
00103.jpg,glass,0,219.0,463.0,415.0,338.0
00103.jpg,glass,0,1167.0,749.0,205.0,244.0
00104.jpg,glass,0,378.0,87.0,263.0,218.0
00105.jpg,glass,0,440.0,215.0,248.0,218.0
00105.jpg,cup,0,519.0,667.0,234.0,250.0
00106.jpg,cup,0,424.0,486.0,248.0,276.0
00107.jpg,glass,0,317.0,591.0,292.0,269.0
00108.jpg,glass,0,1259.0,411.0,251.0,265.0
00110.jpg,cup,0,325.0,282.0,359.0,255.0
00111.jpg,cup,0,384.0,385.0,330.0,280.0
00114.jpg,glass,0,284.0,323.0,416.0,314.0
00115.jpg,glass,0,286.0,318.0,403.0,319.0
00116.jpg,glass,0,284.0,328.0,413.0,305.0
00117.jpg,glass,0,279.0,325.0,419.0,306.0
00118.jpg,cup,0,296.0,385.0,292.0,249.0
00118.jpg,glass,0,1458.0,688.0,306.0,294.0
00119.jpg,cup,0,293.0,394.0,306.0,240.0
00120.jpg,glass,0,938.0,353.0,249.0,226.0
00121.jpg,cup,0,291.0,389.0,302.0,248.0
00121.jpg,glass,0,940.0,346.0,244.0,244.0
00122.jpg,glass,0,927.0,356.0,272.0,220.0
00123.jpg,glass,0,945.0,339.0,233.0,249.0
00124.jpg,cup,0,423.0,486.0,270.0,287.0
00124.jpg,glass,0,1319.0,683.0,282.0,307.0
00125.jpg,cup,0,425.0,485.0,244.0,279.0
00126.jpg,cup,0,718.0,432.0,233.0,260.0
00128.jpg,glass,0,718.0,681.0,210.0,270.0
00129.jpg,glass,0,368.0,373.0,279.0,226.0
00131.jpg,glass,0,1137.0,547.0,259.0,265.0
00132.jpg,glass,0,434.0,469.0,291.0,237.0
00134.jpg,glass,0,474.0,331.0,284.0,276.0
00134.jpg,glass,0,432.0,706.0,279.0,234.0
00135.jpg,cup,0,598.0,597.0,259.0,246.0
00136.jpg,glass,0,461.0,358.0,313.0,226.0
00136.jpg,cup,0,312.0,688.0,312.0,217.0
00137.jpg,cup,0,323.0,687.0,275.0,226.0
00138.jpg,cup,0,326.0,677.0,318.0,237.0
00139.jpg,glass,0,477.0,342.0,262.0,246.0
00139.jpg,cup,0,219.0,514.0,285.0,204.0
00140.jpg,glass,0,457.0,342.0,305.0,241.0
00141.jpg,glass,0,1179.0,607.0,351.0,389.0
00142.jpg,glass,0,1194.0,591.0,325.0,411.0
00143.jpg,glass,0,1179.0,592.0,340.0,394.0
00144.jpg,cup,0,1179.0,570.0,294.0,280.0
00145.jpg,glass,0,1169.0,473.0,248.0,263.0
00146.jpg,glass,0,1170.0,478.0,240.0,250.0
00146.jpg,glass,0,1405.0,841.0,234.0,208.0
00147.jpg,glass,0,1174.0,470.0,231.0,261.0
00147.jpg,glass,0,1394.0,827.0,239.0,210.0
00148.jpg,glass,0,1174.0,477.0,237.0,259.0
00148.jpg,glass,0,1385.0,815.0,266.0,209.0
00149.jpg,glass,0,1408.0,338.0,304.0,272.0
00150.jpg,glass,0,1407.0,367.0,273.0,232.0
00151.jpg,glass,0,1404.0,360.0,273.0,248.0
00152.jpg,glass,0,1409.0,367.0,261.0,232.0
00153.jpg,cup,0,1371.0,669.0,257.0,254.0
00155.jpg,glass,0,1328.0,472.0,269.0,241.0
00156.jpg,glass,0,1343.0,465.0,247.0,232.0
00158.jpg,cup,0,740.0,349.0,327.0,233.0
00159.jpg,cup,0,747.0,344.0,312.0,244.0
00160.jpg,cup,0,579.0,557.0,296.0,239.0
00160.jpg,cup,0,953.0,577.0,301.0,244.0
00161.jpg,cup,0,959.0,565.0,297.0,259.0
00162.jpg,cup,0,963.0,395.0,317.0,252.0
00162.jpg,cup,0,589.0,831.0,250.0,204.0
00163.jpg,glass,0,149.0,525.0,415.0,353.0
00163.jpg,cup,0,953.0,341.0,317.0,231.0
00164.jpg,glass,0,320.0,400.0,301.0,225.0
00164.jpg,glass,0,776.0,698.0,240.0,367.0
00165.jpg,glass,0,1294.0,429.0,371.0,331.0
00165.jpg,glass,0,394.0,705.0,270.0,270.0
00166.jpg,glass,0,190.0,405.0,320.0,229.0
00167.jpg,glass,0,195.0,405.0,313.0,227.0
00167.jpg,glass,0,579.0,731.0,200.0,225.0
00168.jpg,glass,0,335.0,717.0,370.0,312.0
00169.jpg,cup,0,204.0,337.0,292.0,302.0
00170.jpg,cup,0,204.0,339.0,292.0,295.0
00170.jpg,glass,0,357.0,599.0,369.0,366.0
00171.jpg,cup,0,205.0,345.0,285.0,299.0
00171.jpg,glass,0,370.0,599.0,366.0,361.0
00172.jpg,glass,0,1265.0,419.0,364.0,329.0
00173.jpg,glass,0,244.0,345.0,415.0,293.0
00174.jpg,glass,0,240.0,348.0,434.0,285.0
00175.jpg,glass,0,831.0,326.0,231.0,269.0
00176.jpg,glass,0,836.0,327.0,250.0,292.0
00176.jpg,cup,0,437.0,733.0,236.0,227.0
00177.jpg,glass,0,833.0,326.0,246.0,287.0
00180.jpg,glass,0,1234.0,733.0,201.0,230.0
00181.jpg,cup,0,569.0,272.0,258.0,299.0
00183.jpg,cup,0,636.0,756.0,215.0,268.0
00184.jpg,cup,0,266.0,757.0,263.0,294.0
00185.jpg,cup,0,86.0,338.0,302.0,276.0
00186.jpg,cup,0,194.0,312.0,294.0,284.0
00187.jpg,cup,0,542.0,789.0,354.0,254.0
00188.jpg,cup,0,415.0,250.0,277.0,273.0
00188.jpg,cup,0,1148.0,746.0,257.0,226.0
00190.jpg,glass,0,395.0,796.0,221.0,225.0
00191.jpg,cup,0,193.0,388.0,298.0,258.0
00191.jpg,glass,0,522.0,762.0,205.0,230.0
00192.jpg,cup,0,194.0,389.0,301.0,260.0
00192.jpg,glass,0,346.0,810.0,234.0,210.0
00193.jpg,cup,0,516.0,546.0,247.0,271.0
00193.jpg,glass,0,351.0,812.0,228.0,218.0
00194.jpg,cup,0,310.0,480.0,304.0,253.0
00195.jpg,glass,0,395.0,386.0,371.0,299.0
00195.jpg,cup,0,301.0,686.0,301.0,238.0
00196.jpg,cup,0,285.0,303.0,359.0,237.0
00196.jpg,glass,0,275.0,690.0,403.0,336.0
00197.jpg,cup,0,390.0,772.0,321.0,261.0
00198.jpg,cup,0,410.0,759.0,319.0,262.0
00199.jpg,cup,0,303.0,375.0,346.0,246.0
00199.jpg,glass,0,520.0,786.0,208.0,230.0
00200.jpg,cup,0,117.0,372.0,350.0,238.0
00200.jpg,glass,0,1361.0,753.0,236.0,230.0
00215.jpg,glass,0,459.0,240.0,319.0,252.0
00219.jpg,glass,0,327.0,557.0,296.0,294.0
00220.jpg,glass,0,291.0,563.0,367.0,268.0
00220.jpg,glass,0,827.0,574.0,231.0,222.0
00221.jpg,glass,0,681.0,615.0,266.0,292.0
00222.jpg,cup,30,467.0,506.0,381.0,284.0
00222.jpg,cup,30,1487.0,807.0,339.0,210.0
00222.jpg,cup,30,207.0,799.0,298.0,200.0
00223.jpg,cup,30,1207.0,76.0,337.0,288.0
00224.jpg,cup,30,373.0,683.0,361.0,297.0
00224.jpg,cup,30,961.0,572.0,230.0,295.0
00224.jpg,cup,30,1347.0,508.0,360.0,270.0
00225.jpg,cup,30,803.0,513.0,278.0,239.0
00225.jpg,cup,30,781.0,805.0,314.0,224.0
00226.jpg,cup,30,962.0,298.0,268.0,283.0
00226.jpg,cup,30,1360.0,478.0,325.0,314.0
00227.jpg,glass,0,873.0,646.0,455.0,398.0
00228.jpg,cup,30,677.0,320.0,276.0,261.0
00228.jpg,cup,30,1377.0,274.0,302.0,324.0
00228.jpg,glass,0,1282.0,660.0,381.0,374.0
00229.jpg,cup,30,690.0,302.0,253.0,300.0
00229.jpg,cup,30,814.0,767.0,307.0,267.0
00229.jpg,cup,30,1300.0,340.0,330.0,248.0
00229.jpg,glass,0,1284.0,664.0,360.0,364.0
00230.jpg,cup,30,674.0,314.0,288.0,264.0
00230.jpg,cup,30,861.0,674.0,288.0,279.0
00230.jpg,cup,30,1147.0,658.0,286.0,280.0
00232.jpg,cup,30,864.0,656.0,303.0,300.0
00233.jpg,glass,0,700.0,617.0,230.0,242.0
00234.jpg,glass,0,265.0,811.0,276.0,219.0
00235.jpg,glass,0,698.0,594.0,230.0,265.0
00236.jpg,glass,0,699.0,609.0,228.0,252.0
00237.jpg,glass,0,289.0,810.0,248.0,225.0
00238.jpg,glass,0,290.0,807.0,239.0,217.0
00239.jpg,cup,30,977.0,300.0,237.0,288.0
00239.jpg,cup,30,1228.0,654.0,316.0,286.0
00241.jpg,cup,30,551.0,349.0,191.0,276.0
00241.jpg,cup,30,706.0,361.0,322.0,254.0
00241.jpg,cup,30,1158.0,473.0,319.0,316.0
00242.jpg,cup,30,543.0,333.0,259.0,276.0
00242.jpg,cup,30,1255.0,634.0,279.0,321.0
00243.jpg,cup,30,256.0,767.0,332.0,259.0
00243.jpg,cup,30,1252.0,644.0,274.0,301.0
00244.jpg,cup,30,793.0,421.0,237.0,279.0
00244.jpg,cup,30,1257.0,636.0,272.0,310.0
00245.jpg,cup,30,803.0,425.0,223.0,280.0
00245.jpg,cup,30,1246.0,645.0,289.0,300.0
00246.jpg,cup,30,624.0,-25.0,260.0,316.0
00246.jpg,cup,30,906.0,-20.0,278.0,355.0
00247.jpg,cup,30,267.0,763.0,321.0,252.0
00247.jpg,cup,30,918.0,-4.0,282.0,325.0
00248.jpg,cup,30,905.0,5.0,272.0,319.0
00248.jpg,cup,30,1296.0,642.0,289.0,302.0
00249.jpg,cup,30,252.0,2.0,278.0,182.0
00249.jpg,cup,30,1244.0,4.0,330.0,255.0
00250.jpg,cup,30,256.0,-11.0,273.0,197.0
00250.jpg,cup,30,1243.0,4.0,322.0,279.0
00250.jpg,cup,30,1340.0,443.0,301.0,286.0
00251.jpg,cup,30,291.0,265.0,297.0,229.0
00251.jpg,cup,30,1590.0,153.0,325.0,297.0
00252.jpg,cup,30,189.0,132.0,339.0,254.0
00252.jpg,cup,30,744.0,4.0,336.0,266.0
00252.jpg,cup,30,1520.0,102.0,337.0,227.0
00254.jpg,cup,30,832.0,436.0,332.0,236.0
00254.jpg,cup,30,825.0,678.0,294.0,185.0
00254.jpg,cup,30,874.0,841.0,209.0,153.0
00255.jpg,cup,30,839.0,430.0,314.0,258.0
00255.jpg,cup,30,834.0,666.0,285.0,201.0
00255.jpg,cup,30,880.0,843.0,200.0,147.0
00256.jpg,glass,30,296.0,373.0,282.0,212.0
00256.jpg,glass,30,1430.0,308.0,424.0,334.0
00257.jpg,glass,30,135.0,123.0,301.0,204.0
00257.jpg,glass,30,848.0,56.0,264.0,244.0
00257.jpg,glass,30,1424.0,120.0,428.0,270.0
00258.jpg,glass,30,120.0,111.0,301.0,211.0
00258.jpg,glass,30,877.0,276.0,240.0,261.0
00258.jpg,glass,30,1425.0,265.0,406.0,321.0
00259.jpg,glass,30,255.0,348.0,282.0,210.0
00259.jpg,glass,30,1416.0,260.0,440.0,337.0
00260.jpg,glass,30,1394.0,489.0,398.0,379.0
00261.jpg,glass,30,916.0,487.0,242.0,259.0
00261.jpg,glass,30,1388.0,499.0,407.0,368.0
00262.jpg,glass,30,403.0,668.0,233.0,233.0
00262.jpg,glass,30,941.0,674.0,212.0,291.0
00262.jpg,glass,30,1371.0,627.0,381.0,387.0
00263.jpg,cup,30,288.0,261.0,312.0,234.0
00263.jpg,cup,30,233.0,727.0,297.0,268.0
00263.jpg,cup,30,1590.0,150.0,314.0,288.0
00264.jpg,glass,30,401.0,670.0,253.0,224.0
00264.jpg,glass,30,930.0,671.0,228.0,306.0
00264.jpg,glass,30,1375.0,630.0,382.0,406.0
00265.jpg,glass,30,835.0,793.0,296.0,234.0
00266.jpg,glass,30,406.0,661.0,241.0,237.0
00266.jpg,glass,30,937.0,681.0,225.0,295.0
00266.jpg,glass,30,1376.0,632.0,390.0,382.0
00267.jpg,glass,30,195.0,483.0,418.0,356.0
00267.jpg,glass,30,875.0,453.0,203.0,230.0
00268.jpg,glass,30,60.0,296.0,472.0,307.0
00268.jpg,glass,30,1538.0,356.0,338.0,243.0
00269.jpg,glass,30,50.0,304.0,494.0,294.0
00269.jpg,glass,30,863.0,322.0,243.0,207.0
00269.jpg,glass,30,1539.0,351.0,338.0,248.0
00270.jpg,glass,30,59.0,300.0,475.0,304.0
00270.jpg,glass,30,890.0,330.0,210.0,197.0
